Sl No,AC No,AC Name,Zone,PC,District,Org District,Dominant Caste 1,Dominant Caste 2,Dominant Caste 3,Dominant Caste 4,Dominant Caste 5,Winner - Name,Winner - Party,Winner - Category,Winner - Caste,Runner Up - Name,Runner Up - Party,Runner Up - Category,Runner Party - Caste,2024 GE Booth Gradation
143,143,Chintamani,OMR,Kolar,Chikkaballapura,Chikkaballapura,"SC - 25.71%
_______________

SC (Left) - 12.94%
SC (Right) - 7.49%
SC (Bhovi) - 4.34%
SC (Others) - 0.94%",Vokkaliga - 24.35%,Muslim - 15.27%,ST - 11.68%,Kuruba/ Halumatha - 4.55%,Dr MC Sudhakar,INC,GEN,Vokkaliga,Shri JK Krishna Reddy,JD(S),GEN,Reddy,"Total no of Booths - 271
______________
Grade A - 169
Grade B - 25
Grade C - 9
Grade D - 68"
144,144,Shrinivaspura,OMR,Kolar,Kolar,Kolar,"SC - 33.15%
_______________

SC (Left) - 13.83%
SC (Bhovi) - 7.73%
SC (Right) - 9.83%
SC (Others) - 1.76%",Vokkaliga - 30.62%,ST - 9.51%,Muslim - 8.13%,Kuruba/ Halumatha - 3.76%,Shri GK Venkatashiva Reddy,JD(S),GEN,Reddy,KR Ramesh Kumar,INC,GEN,Brahmin,"Total no of Booths - 284
______________
Grade A - 192
Grade B - 18
Grade C - 6
Grade D - 68"
145,145,Mulbagal(SC),OMR,Kolar,Kolar,Kolar,"SC - 32.71%
_______________

SC (Right) - 16.41%
SC (Bhovi) - 7.89%
SC (Left) - 5.24%
SC (Others) - 3.17%",Vokkaliga - 16.68%,Muslim - 16.47%,Kuruba/ Halumatha - 5.41%,Balija - 4.77%,Shri Samruddhi V Manjunath,JD(S),SC,SC - Right,Vadinarayana,INC,SC,SC - Right,"Total no of Booths - 266
______________
Grade A - 220
Grade B - 6
Grade C - 2
Grade D - 38"
146,146,KGF (SC),OMR,Kolar,Kolar,Kolar,"SC - 59.8%
_______________

SC (Left) - 47.47%
SC (Right) - 8.89%
SC (Bhovi) - 3.44%",Christian - 6.39%,Muslim - 6.35%,Reddy - 4.18%,Balija - 3.52%,Roopa Kala M,INC,SC,SC - Left,Shri Ashwini Sampangi,BJP,SC,SC - Right,"Total no of Booths - 222
______________
Grade A - 106
Grade B - 8
Grade C - 4
Grade D - 104"
147,147,Bangarpet (SC),OMR,Kolar,Kolar,Kolar,"SC - 37.4%
_______________

SC (Right) - 19.85%
SC (Left) - 10.43%
SC (Bhovi) - 5.83%
SC (Others) - 1.29%",Vokkaliga - 14.56%,Muslim - 8.26%,Kuruba/ Halumatha - 6.47%,Balija - 3.35%,SN Narayanaswamy,INC,SC,SC - Right,Shri M Mallesh Babu,JD(S),SC,SC - Right,"Total no of Booths - 253
______________
Grade A - 194
Grade B - 8
Grade C - 6
Grade D - 45"
148,148,Kolar,OMR,Kolar,Kolar,Kolar,Muslim - 26.59%,"SC - 23.65%
_______________

SC (Right) - 15.52%
SC (Bhovi) - 3.14%
SC (Left) - 4.51%
SC (Others) - 0.48%",Vokkaliga - 20.11%,Kuruba/ Halumatha - 7.02%,ST - 4.06%,Kothur G Manjunatha,INC,OBC,Bairagi,Shri CMR Srinath,JD(S),GEN,Vokkaliga,"Total no of Booths - 278
______________
Grade A - 204
Grade B - 5
Grade C - 1
Grade D - 68"
149,149,Malur,OMR,Kolar,Kolar,Kolar,Vokkaliga - 18.65%,"SC - 28.16%
_______________

SC (Right) - 18.84%
SC (Bhovi) - 5.18%
SC (Left) - 3.55%
SC (Others) - 0.59%",Tigala/ Vanniyar - 10.2%,ST - 9.59%,Kuruba/ Halumatha - 7.29%,KY Nanjegowda,INC,GEN,Vokkaliga,Shri KS Manjunatha Gowda,BJP,GEN,Vokkaliga,"Total no of Booths - 241
______________
Grade A - 154
Grade B - 27
Grade C - 6
Grade D - 54"
150,150,Yelahanka,OMR,Chikkaballapur,Bengaluru,Bengaluru North,Vokkaliga - 22.37%,"SC - 19.42%
_______________

SC (Right) - 8.46%
SC (Left) - 6.79%
SC (Bhovi) - 2.5%
SC (Others) - 1.67%",Lingayat - 8%,Muslim - 6.11%,Kuruba/ Halumatha - 5.63%,Shri SR Vishwanath,BJP,GEN,Vokkaliga,Keshava Rajanna B,INC,GEN,Vokkaliga,"Total no of Booths - 411
______________
Grade A - 374
Grade B - 7
Grade C - 3
Grade D - 27"
151,151,KR Pura,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,"SC - 21.87%
_______________

SC (Left) - 12.88%
SC (Right) - 6.38%
SC (Bhovi) - 1.97%
SC (Others) - 0.64%",Christian - 11.27%,Muslim - 8.5%,Brahmin - 5.71%,Balija - 4.68%,Shri BA Basavaraja,BJP,OBC,Kuruba / Halumata,DK Mohan,INC,OBC,Kuruba / Halumata,"Total no of Booths - 507
______________
Grade A - 359
Grade B - 32
Grade C - 17
Grade D - 99"
152,152,Byatarayanapura,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,"SC - 16.67%
_______________

SC (Left) - 8.03%
SC (Right) - 5.97%
SC (Others) - 2.67%",Muslim - 15.68%,Vokkaliga - 13.01%,Brahmin - 6.62%,Christian - 4.81%,Krishna Byregowda,INC,GEN,Vokkaliga,Shri Thammesh Gowda HC,BJP,GEN,Vokkaliga,"Total no of Booths - 440
______________
Grade A - 303
Grade B - 14
Grade C - 9
Grade D - 114"
153,153,Yeshwanthpur,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,Vokkaliga - 31.15%,"SC - 15.37%
_______________

SC (Right) - 11.46%
SC (Left) - 2.47%
SC (Bhovi) - 1.44%",Lingayat - 9%,Kuruba/ Halumatha - 6.15%,Muslim - 6.14%,Shri ST Somashekar,BJP,GEN,Vokkaliga,Shri TN Javarayi Gowda,JD(S),GEN,Vokkaliga - Gangatkar,"Total no of Booths - 543
______________
Grade A - 467
Grade B - 18
Grade C - 6
Grade D - 52"
154,154,Rajarajeshwari Nagar,Bengaluru,Bengaluru Rural,Bengaluru,Bengaluru North,Vokkaliga - 28.08%,"SC - 17.21%
_______________

SC (Right) - 8.36%
SC (Left) - 8.31%
SC (Bhovi) - 0.54%",Lingayat - 8%,Brahmin - 7.56%,Muslim - 4.92%,Shri Munirathna,BJP,OBC,Balija Naidu,Kusuma H,INC,GEN,Vokkaliga,"Total no of Booths - 438
______________
Grade A - 390
Grade B - 3
Grade C - 6
Grade D - 39"
155,155,Dasarahalli,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,Vokkaliga - 31.06%,"SC - 12.84%
_______________

SC (Right) - 6.07%
SC (Left) - 5.17%
SC (Others) - 1.60%",Lingayat - 10%,Kuruba/ Halumatha - 5.98%,Muslim - 4.98%,Shri S Muniraju,BJP,GEN,Vokkaliga,Shri R Manjunatha,JD(S),GEN,Vokkaliga,"Total no of Booths - 418
______________
Grade A - 366
Grade B - 13
Grade C - 6
Grade D - 33"
156,156,Mahalakshmi Layout,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,Vokkaliga - 31.17%,"SC - 14.79%
_______________

SC (Right) - 7.05%
SC (Left) - 6.91%
SC (Bhovi) - 0.83%",Brahmin - 9.32%,Lingayat - 9%,Kuruba/ Halumatha - 3.98%,Shri K Gopalaiah,BJP,GEN,Vokkaliga,Keshavamurthy S,INC,GEN,Vokkaliga,"Total no of Booths - 276
______________
Grade A - 243
Grade B - 7
Grade C - 5
Grade D - 21"
157,157,Malleshwaram,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,Vokkaliga - 17.88%,Brahmin - 15.73%,Balija - 8.64%,"SC - 8.56%
_______________

SC (Left) - 4.61%
SC (Right) - 3.95%",Muslim - 6.25%,Dr Ashwath Narayan C N,BJP,GEN,Vokkaliga,Anoop Iyengar,INC,GEN,Brahmin,"Total no of Booths - 276
______________
Grade A - 243
Grade B - 7
Grade C - 5
Grade D - 21"
158,158,Hebbal,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,"SC - 13.51%
_______________

SC (Right) - 6.64%
SC (Left) - 6.87%",Muslim - 32%,Brahmin - 8.61%,Vokkaliga - 9.53%,Christian - 4.63%,Suresha BS,INC,OBC,Kuruba / Halumata,Shri Jagdeesha Katta KS,BJP,GEN,Balija Naidu,"Total no of Booths - 285
______________
Grade A - 170
Grade B - 13
Grade C - 5
Grade D - 97"
159,159,Pulakeshi Nagar,Bengaluru,Bengaluru North,Bengaluru,Bengaluru North,"SC - 26.88%
_______________

SC (Left) - 22.75%
SC (Right) - 4.13%",Muslim - 50.46%,Christian - 9.15%,Others - 13.07%,,AC Srinivasa,INC,SC,Bhovi,Akanda Srinivasa Murthy R,BSP,GEN,SC - Right,"Total no of Booths - 228
______________
Grade A - 15
Grade B - 2
Grade C - 2
Grade D - 209"
160,160,Sarvagnanagar,Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,Muslim - 30.66%,"SC - 20.06%
_______________

SC (Left) - 14.68%
SC (Right) - 5.01%
SC (Others) - 0.37%",Christian - 14.94%,Vokkaliga - 3.25%,Others - 30.59%,Kelachandra Joseph George,INC,OBC,Christian,Shri Padmanabha Reddy,BJP,GEN,Reddy,"Total no of Booths - 337
______________
Grade A - 82
Grade B - 17
Grade C - 6
Grade D - 232"
161,161,CV Raman Nagar (SC),Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,"SC - 30%
_______________

SC (Left) - 18%
SC (Right) - 12%",Brahmin - 9.95%,Christian - 9.01%,Muslim - 3.44%,Balija - 3.33%,Shri S Raghu,BJP,SC,Bhovi,Anand Kumar S,INC,SC,SC - Left,"Total no of Booths - 244
______________
Grade A - 175
Grade B - 13
Grade C - 3
Grade D - 53"
162,162,Shivaji Nagar,Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,Muslim - 37.87%,"SC - 30.37%
_______________

SC (Left) - 18.81%
SC (Right) - 11.56%",Christian - 6.24%,Vokkaliga - 1.07%,Others - 23.73%,Rizwan Arshad,INC,OBC,Muslim,Shri Chandran,BJP,SC,SC - Adi Andra,"Total no of Booths - 192
______________
Grade A - 73
Grade B - 3
Grade C - 0
Grade D - 116"
163,163,Shanti Nagar,Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,"SC - 35.49%
_______________

SC (Left) - 28.82%
SC (Right) - 6.67%",Muslim - 15.17%,Christian - 13.66%,Vokkaliga - 2.46%,Others - 32.42%,NA Haris,INC,OBC,Muslim,Shri K Shivakumar,BJP,OBC,Tigala/Vanniyar,"Total no of Booths - 195
______________
Grade A - 74
Grade B - 5
Grade C - 4
Grade D - 112"
164,164,Gandhi Nagar,Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,"SC - 35.3%
_______________

SC (Left) - 23.68%
SC (Right) - 11.62%",Jain - 6.76%,Gounder - 6%,Balija - 5.38%,Vokkaliga - 5.36%,Dinesh Gundu Rao,INC,GEN,Brahmin,Shri Sapthagiri Gowda AR,BJP,GEN,Vokkaliga,"Total no of Booths - 217
______________
Grade A - 140
Grade B - 9
Grade C - 6
Grade D - 62"
165,165,Rajaji Nagar,Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,"SC - 17.34%
_______________

SC (Left) - 11.93%
SC (Right) - 5.41%",Vokkaliga - 14.11%,Brahmin - 8.07%,Lingayat - 7.82%,Balija - 5.97%,Shri S Suresh Kumar,BJP,GEN,Brahmin,Puttanna,INC,GEN,Vokkaliga - Gangatkar,"Total no of Booths - 194
______________
Grade A - 164
Grade B - 9
Grade C - 2
Grade D - 19"
166,166,Govindraj Nagar,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,Vokkaliga - 25.19%,"SC - 12.34%
_______________

SC (Right) - 6.38%
SC (Left) - 5.41%
SC (Bhovi) - 0.55%",Lingayat - 10.73%,Muslim - 9.7%,Brahmin - 8.57%,Priyakrishna,INC,GEN,Vokkaliga,Shri K Umesh Shetty,BJP,OBC,Bunt / Nadava,"Total no of Booths - 269
______________
Grade A - 238
Grade B - 1
Grade C - 1
Grade D - 29"
167,167,Vijay Nagar,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,Vokkaliga - 20.09%,Muslim - 13.46%,Kuruba/ Halumatha - 10.65%,"SC - 7.8%
_______________

SC (Left) - 5.12%
SC (Right) - 2.68%",Brahmin - 6.98%,M Krishnappa,INC,GEN,Vokkaliga,Shri H Ravindra,BJP,GEN,Vokkaliga,"Total no of Booths - 284
______________
Grade A - 233
Grade B - 6
Grade C - 1
Grade D - 44"
168,168,Chamrajpet,Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,Muslim - 46.3%,"SC - 31.04%
_______________

SC (Left) - 26.45%
SC (Right) - 4.03%
SC (Bhovi) - 0.56%",Vokkaliga - 6.53%,Kuruba/ Halumatha - 4.49%,Lingayat - 0.8%,BZ Zameer Ahmed Khan,INC,OBC,Muslim,Shri Bhaskar Rao,BJP,GEN,Brahmin,"Total no of Booths - 217
______________
Grade A - 130
Grade B - 1
Grade C - 2
Grade D - 84"
169,169,Chickpet,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,Muslim - 32.02%,"SC - 23.11%
_______________

SC (Left) - 18.77%
SC (Right) - 4.34%",Brahmin - 8.74%,Vokkaliga - 5.33%,Jain - 5.14%,Shri Uday B Garudachar,BJP,GEN,Brahmin,RV Devraj,INC,OBC,Balija,"Total no of Booths - 223
______________
Grade A - 112
Grade B - 4
Grade C - 1
Grade D - 106"
170,170,Basavanagudi,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,Brahmin - 34.45%,Vokkaliga - 24.92%,Arya Vaishya - 5.86%,Kuruba/ Halumatha - 5.72%,Balija - 4.25%,Shri Ravi Subramanya LA,BJP,GEN,Brahmin,UB Venkatesh,INC,GEN,Brahmin,"Total no of Booths - 220
______________
Grade A - 219
Grade B - 0
Grade C - 1
Grade D - 0"
171,171,Padmanaba Nagar,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,Brahmin - 20.94%,Vokkaliga - 17.27%,Muslim - 13.6%,"SC - 4.99%
_______________

SC (Left) - 2.71%
SC (Right) - 1.58%
SC (Bhovi) - 0.7%",Vishwakarma - 4.93%,Shri R Ashoka,BJP,GEN,Vokkaliga,V Raghunatha Naidu,INC,OBC,Balija Naidu,"Total no of Booths - 279
______________
Grade A - 234
Grade B - 5
Grade C - 0
Grade D - 40"
172,172,BTM Layout,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,"SC - 20.04%
_______________

SC (Left) - 11.73%
SC (Right) - 7.57%
SC (Bhovi) - 0.74%",Christian - 11.83%,Muslim - 10.54%,Brahmin - 9.35%,Vokkaliga - 8.00%,Ramalinga Reddy,INC,GEN,Reddy,Shri KR Sridhara,BJP,GEN,Reddy,"Total no of Booths - 455
______________
Grade A - 274
Grade B - 20
Grade C - 9
Grade D - 152"
173,173,Jayanagar,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,"SC - 14.92%
_______________

SC (Left) - 11.31%
SC (Right) - 2.53%
SC (Bhovi) - 1.08%",Muslim - 30.49%,Brahmin - 17.5%,Vokkaliga - 8.11%,Vishwakarma - 3.86%,Shri CK Ramamurthy,BJP,GEN,Brahmin,Sowmya Reddy,INC,GEN,Lingayat - Reddy,"Total no of Booths - 210
______________
Grade A - 120
Grade B - 5
Grade C - 2
Grade D - 83"
174,174,Mahadevpura (SC),Bengaluru,Bengaluru Central,Bengaluru,Bengaluru Central,"SC - 30.06%
_______________

SC (Right) - 17.69%
SC (Bhovi) - 5.74%
SC (Left) - 6.63%",Vokkaliga - 12.03%,Kuruba/ Halumatha - 8.48%,Reddy - 8.43%,Balija - 4.67%,Smt Manjula S,BJP,SC,Bhovi,H Nagesh,INC,SC,SC - Right,"Total no of Booths - 527
______________
Grade A - 458
Grade B - 18
Grade C - 7
Grade D - 44"
175,175,Bommanahalli,Bengaluru,Bengaluru South,Bengaluru,Bengaluru South,Vokkaliga - 12.52%,"SC - 11.19%
_______________

SC (Right) - 6.64%
SC (Left) - 3.15%
SC (Bhovi) - 1.4%",Muslim - 11.68%,Brahmin - 10.9%,Lingayat - 5.8%,Shri Sathish Reddy M,BJP,GEN,Reddy,Umapathy Srinivasa Gowda,INC,GEN,Vokkaliga,"Total no of Booths - 390
______________
Grade A - 327
Grade B - 10
Grade C - 3
Grade D - 50"
176,176,Bangalore South,Bengaluru,Bengaluru Rural,Bengaluru,Bengaluru South,"SC - 15.26%
_______________

SC (Right) - 7.98%
SC (Bhovi) - 2.83%
SC (Left) - 3.01%
SC (Others) - 1.44%",Vokkaliga - 13.79%,Brahmin - 12.23%,Muslim - 9.64%,Lingayat - 5.09%,Shri M Krishnappa,BJP,GEN,Vokkaliga,RK Ramesh,INC,GEN,SC - Right,"Total no of Booths - 598
______________
Grade A - 458
Grade B - 20
Grade C - 13
Grade D - 107"
177,177,Anekal (SC),Bengaluru,Bengaluru Rural,Bengaluru,Bengaluru Rural,"SC - 26.79%
_______________

SC (Right) - 20.26%
SC (Left) - 3.76%
SC (Others) - 2.77%",Reddy - 12.72%,Vokkaliga - 11.06%,Kuruba/ Halumatha - 6.15%,Lingayat - 4.73%,B Shivanna,INC,SC,SC - Right,Shri Srinivas C Hullahalli,BJP,SC,SC - Left,"Total no of Booths - 381
______________
Grade A - 250
Grade B - 27
Grade C - 14
Grade D - 90"
178,178,Hosakote,OMR,Chikkaballapur,Bengaluru Rural,Belagavi Rural,"SC - 23.17%
_______________

SC (Right) - 14.26%
SC (Left) - 7.96%
SC (Bhovi) - 0.95%",Vokkaliga - 18.65%,Muslim - 15.93%,Kuruba/ Halumatha - 11.27%,Tigala/ Vanniyar - 5.83%,Sharath Kumar Bachegowda,INC,GEN,Vokkaliga,Shri N Nagaraju,BJP,OBC,Kuruba / Halumata,"Total no of Booths - 293
______________
Grade A - 167
Grade B - 16
Grade C - 13
Grade D - 97"
179,179,Devanahalli (SC),OMR,Chikkaballapur,Bengaluru Rural,Belagavi Rural,Vokkaliga - 28.73%,"SC - 27.43%
_______________

SC (Left) - 17.57%
SC (Right) - 5.99%
SC (Others) - 3.87%",ST - 9.49%,Muslim - 7.09%,Kuruba/ Halumatha - 5.56%,KH Muniyappa,INC,SC,SC - Left,Shri Nisarga Narayanaswamy LN,JD(S),GEN,SC - Right,"Total no of Booths - 292
______________
Grade A - 158
Grade B - 32
Grade C - 19
Grade D - 83"
180,180,Doddaballapur,OMR,Chikkaballapur,Bengaluru Rural,Belagavi Rural,"SC - 23.13%
_______________

SC (Left) - 15.25%
SC (Right) - 4.66%
SC (Bhovi) - 3.22%","Vokkaliga - 22.96%
_______________

Vokkaliga - 19.47%
Vokkaliga Kunchitiga - 1.8%
Vokkaliga Reddy - 0.7%
Vokkaliga Gangatkar - 0.48%",Devanga/ Nekara/ Hatagar - 9.79%,Muslim - 7.46%,"Lingayat - 6.11%
_______________

Lingayat General - 3.84%
Lingayat Veerashaiva - 2.27%",Shri Dheeraj Muniraj,BJP,OBC,Yadava / Golla,Tvenkataramanaiah (Appakaranahalli Tvenkatesh),INC,GEN,Vokkaliga - Gangatkar,"Total no of Booths - 276
______________
Grade A - 196
Grade B - 15
Grade C - 14
Grade D - 51"
181,181,Nelamangala (SC),OMR,Chikkaballapur,Bengaluru Rural,Bengaluru Rural,"Vokkaliga - 28.62%
_______________

Vokkaliga - 24.18%
Vokkaliga Kunchitiga - 2.56%
Vokkaliga Gangatkar - 1.1%
Vokkaliga Vakkal - 0.79%","SC - 27.28%
_______________

SC (Left) - 15.49%
SC (Right) - 6.69%
SC (Bhovi) - 4.08%
SC (Others) - 1.02%","Lingayat - 9.42%
_______________

Lingayat Veerashaiva - 4.77%
LingayatOthers - 4.65%",Muslim - 7.76%,Tigala/ Vanniyar - 5.81%,N Srinivas,INC,SC,SC - Left,Dr K Srinivasamurthy,JD(S),SC,SC - Right,"Total no of Booths - 276
______________
Grade A - 221
Grade B - 18
Grade C - 4
Grade D - 33"
182,182,Magadi,Bengaluru,Bengaluru Rural,Ramanagara,Ramanagara,"Vokkaliga - 42.48%
_______________

Vokkaliga - 41.14%
Vokkaliga Kunchitiga - 1.35%","SC - 20.43%
_______________

SC (Right) - 6.5%
SC (Left) - 9.69%
SC (Bhovi) - 3.26%
SC (Lambani) - 0.98%",Lingayat - 8.5%,Muslim - 6.04%,Tigala/ Vanniyar - 3.88%,HC Balakrishna,INC,GEN,Vokkaliga - Gangatkar,Shri A Manjunath,JD(S),GEN,Vokkaliga,"Total no of Booths - 301
______________
Grade A - 235
Grade B - 20
Grade C - 5
Grade D - 41"
183,183,Ramanagaram,Bengaluru,Bengaluru Rural,Ramanagara,Ramanagara,Vokkaliga - 39.67%,"SC - 21.74%
_______________

SC (Right) - 13.1%
SC (Bhovi) - 3.38%
SC (Left) - 2.53%
SC (Others) - 2.73%",Muslim - 20.25%,Lingayat - 6.2%,Others - 12.14%,HA Iqbal Hussain,INC,OBC,Muslim,Shri Nikhil Kumaraswamy,JD(S),GEN,Vokkaliga,"Total no of Booths - 278
______________
Grade A - 186
Grade B - 13
Grade C - 6
Grade D - 73"
184,184,Kanakapura,Bengaluru,Bengaluru Rural,Ramanagara,Ramanagara,"Vokkaliga - 46.01%
_______________

Vokkaliga - 45.29%
VokkaligaGangatkar - 0.73%","SC - 21.59%
_______________

SC (Right) - 11.24%
SC (Lambani) - 3.8%
SC (Bhovi) - 2.74%
SC (Left) - 2.47%
SC (Others) - 1.34%",Lingayat - 4.94%,Muslim - 5.1%,Tigala/ Vanniyar - 4.17%,DK Shivakumar,INC,GEN,Vokkaliga - Gangatkar,Shri B Nagaraju,JD(S),GEN,Vokkaliga,"Total no of Booths - 297
______________
Grade A - 76
Grade B - 19
Grade C - 18
Grade D - 184"
185,185,Channapatna,Bengaluru,Bengaluru Rural,Ramanagara,Ramanagara,Vokkaliga - 46.51%,"SC - 18.13%
_______________

SC (Right) - 13.79%
SC (Left) - 3.49%
SC (Others) - 0.85%",Muslim - 12.68%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 5.36%,Tigala/ Vanniyar - 4.45%,CP Yogeshwar,INC,GEN,Vokkaliga,Nikhil Kumarswamy,JD(S),GEN,Vokkaliga,"Total no of Booths - 271
______________
Grade A - 200
Grade B - 9
Grade C - 2
Grade D - 60"
186,186,Malavalli (SC),OMR,Mandya,Mandya,Mandya,Vokkaliga - 33.72%,"SC - 21.55%
_______________

SC (Right) - 17.8%
SC (Left) - 2.29%
SC (Others) - 1.46%",Lingayat - 11.66%,Kuruba/ Halumatha - 10.53%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 9.91%,PM Narendraswamy,INC,SC,SC - Right,Dr K Annadani,JD(S),SC,SC - Right,"Total no of Booths - 272
______________
Grade A - 152
Grade B - 18
Grade C - 6
Grade D - 96"
187,187,Maddur,OMR,Mandya,Mandya,Mandya,Vokkaliga - 64.35%,"SC - 15.33%
_______________

SC (Right) - 10.38%
SC (Left) - 3.07%
SC (Others) - 1.89%",Lingayat - 5.10%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 3.06%,Others - 12.16%,Udaya KM,INC,GEN,Vokkaliga,Shri DC Thammanna,JD(S),GEN,Vokkaliga,"Total no of Booths - 254
______________
Grade A - 221
Grade B - 3
Grade C - 2
Grade D - 28"
188,188,Melukote,OMR,Mandya,Mandya,Mandya,"Vokkaliga - 60.06%
_______________

Vokkaliga - 59.24%
Vokkaliga Gangatkar - 0.82%","SC - 13.12%
_______________

SC (Right) - 8.31%
SC (Left) - 3.33%
SC (Bhovi) - 1.48%",Lingayat - 7.6%,Kuruba/ Halumatha - 5.4%,Vishwakarma - 3.43%,Dharshan Puttannaiah,SKP,GEN,Vokkaliga,Shri CS Puttaraju,JD(S),GEN,Vokkaliga,"Total no of Booths - 264
______________
Grade A - 237
Grade B - 9
Grade C - 2
Grade D - 16"
189,189,Mandya,OMR,Mandya,Mandya,Mandya,"Vokkaliga - 47.84%
_______________

Vokkaliga - 46.82%
Vokkaliga Gangatkar - 0.58%
Vokkaliga Gowda - 0.44%","SC - 15.91%
_______________

SC (Right) - 9.38%
SC (Left) - 5.84%
SC (Others) - 0.69%",Muslim - 7.27%,Lingayat - 6.11%,Kuruba/ Halumatha - 5.04%,Ravikumar Gowda (Ganiga),INC,GEN,Vokkaliga,Shri BR Ramachandra,JD(S),GEN,Vokkaliga,"Total no of Booths - 264
______________
Grade A - 200
Grade B - 10
Grade C - 4
Grade D - 50"
190,190,Srirangapatna,OMR,Mandya,Mandya,Mandya,Vokkaliga - 55.91%,"SC - 15.9%
_______________

SC (Right) - 10.8%
SC (Left) - 3.88%
SC (Others) - 1.22%",Bestha/ Koli/ Kabbaliga/ Mogaveera - 5.77%,Lingayat Veerashaiva - 3.67%,Vishwakarma - 3.36%,AB Ramesha Bandisiddegowda,INC,GEN,Vokkaliga,Shri Ravindra Srikantaiah,JD(S),GEN,Vokkaliga,"Total no of Booths - 249
______________
Grade A - 207
Grade B - 8
Grade C - 4
Grade D - 30"
191,191,Nagamangala,OMR,Mandya,Mandya,Mandya,"Vokkaliga 65.09
_______________

Vokkaliga - 64.66%
Vokkaliga Gangatkar - 0.43%","SC - 12.31%
_______________

SC (Right) - 8.32%
SC (Left) - 2.2%
SC (Others) - 1.79%",Muslim - 5.34%,Kuruba/ Halumatha - 5.3%,Lingayat Veerashaiva - 3.09%,N Chaluvarayaswamy,INC,GEN,Vokkaliga,Shri Sureshgowdaa,JD(S),GEN,Vokkaliga,"Total no of Booths - 260
______________
Grade A - 231
Grade B - 5
Grade C - 2
Grade D - 22"
192,192,Krishnarajapete,OMR,Mandya,Mandya,Mandya,"Vokkaliga - 49.39%
_______________

Vokkaliga - 48.69%
Vokkaliga Hallikar - 0.7%","SC - 13.34%
_______________

SC (Right) - 8.46%
SC (Left) - 3.99%
SC (Others) - 0.89%",Kuruba/ Halumatha - 14.87%,Lingayat Veerashaiva - 7.69%,Others - 14.71%,Shri HT Manju,JD(S),GEN,Vokkaliga,BL Devaraja,INC,GEN,Vokkaliga - Gangatkar,"Total no of Booths - 261
______________
Grade A - 187
Grade B - 16
Grade C - 8
Grade D - 50"
193,193,Shravanabelagola,OMR,Hassan,Hassan,Hasan,"Vokkaliga - 60.86%
_______________

Vokkaliga - 59.63%
Vokkaliga Gangatkar - 1.23%","SC - 11.46%
_______________

SC (Right) - 7.63%
SC (Left) - 2.48%
SC (Others) - 1.35%",Kuruba/ Halumatha - 7.74%,"Lingayat - 3.93%
_______________

LingayatOthers - 1.14%
Lingayat Veerashaiva - 1.07%
Lingayat Ganiga - 0.88%
Lingayat Nonaba - 0.84%",Muslim - 3.52%,Shri CN Balakrishna,JD(S),GEN,Vokkaliga,MA Gopalaswamy,INC,GEN,Vokkaliga - Gangatkar,"Total no of Booths - 263
______________
Grade A - 124
Grade B - 37
Grade C - 12
Grade D - 90"
194,194,Arsikere,OMR,Hassan,Hassan,Hasan,"Lingayat - 24.58%
_______________

Lingayat - 15.51%
Lingayat Nonaba - 4.48%
Lingayat Veerashaiva - 3.18%
LingayatLingayat Kunchitiga - 0.77%
Lingayat Beda Jangama - 0.64%","SC - 21.64%
_______________

SC (Left) - 7.68%
SC (Lambani) - 6.21%
SC (Bhovi) - 5.7%
SC (Right) - 2.05%",Kuruba/ Halumatha - 12.24%,Vokkaliga - 13.44%,Muslim - 7.71%,KM Shivalinge Gowda,INC,GEN,Vokkaliga,Shri NR Santhosh,JD(S),GEN,Vokkaliga,"Total no of Booths - 267
______________
Grade A - 131
Grade B - 23
Grade C - 8
Grade D - 105"
